,0
0,0.999488890171051
1,0.6179150938987732
2,0.8497320413589478
3,0.9416462182998657
4,0.9581394195556641
5,0.9205098748207092
6,0.8667015433311462
7,0.9028939008712769
8,0.145839661359787
9,0.42642855644226074
10,0.7758866548538208
11,0.8790673613548279
12,0.9476007223129272
13,0.9482367634773254
14,0.7417064309120178
15,0.06646666675806046
16,0.16031357645988464
17,0.29027438163757324
18,0.5181986093521118
19,0.593690037727356
20,0.7333157062530518
21,0.24544264376163483
22,0.14906510710716248
23,0.10387479513883591
24,0.17374533414840698
25,0.3920608162879944
26,0.36465850472450256
27,0.19534552097320557
28,0.29029032588005066
29,0.33983656764030457
30,0.26545652747154236
31,0.09728866815567017
32,0.15222877264022827
33,0.3516113758087158
34,0.16165611147880554
35,0.13950768113136292
36,0.22432264685630798
37,0.48430976271629333
38,0.16254253685474396
39,0.059008970856666565
40,0.15229347348213196
41,0.22011299431324005
42,0.07580806314945221
43,0.13077516853809357
44,0.3375881612300873
45,0.40452712774276733
46,0.09536672383546829
47,0.015880214050412178
48,0.1689555048942566
49,0.10472863167524338
50,0.0621514618396759
51,0.1369234323501587
52,0.4130901098251343
53,0.1382935792207718
54,0.06304445117712021
55,0.007066695019602776
56,0.15762270987033844
57,0.2249424308538437
58,0.18666553497314453
59,0.12531276047229767
60,0.08768945187330246
61,0.019364753738045692
62,0.002374094445258379
63,0.0
64,0.008373457007110119
65,0.21925458312034607
66,0.584006130695343
67,0.8729437589645386
68,0.9888761043548584
69,0.8852378129959106
70,0.4376598298549652
71,0.2286481410264969
72,0.124531090259552
73,0.24148862063884735
74,0.342794805765152
75,0.5643553137779236
76,0.729156494140625
77,0.4549597501754761
78,0.4210526943206787
79,0.2410467565059662
80,0.12233230471611023
81,0.37094253301620483
82,0.6004729270935059
83,0.7462744116783142
84,0.7643316388130188
85,0.5589562654495239
86,0.2570861876010895
87,0.10960251092910767
88,0.11152372509241104
89,0.44285932183265686
90,0.5780761241912842
91,0.7327257394790649
92,0.5944684743881226
93,0.7282472252845764
94,0.3401677906513214
95,0.047183793038129807
96,0.118301160633564
97,0.6444485783576965
98,0.5061082243919373
99,0.5169598460197449
100,0.617534339427948
101,0.7128921151161194
102,0.3495381772518158
103,0.10318946093320847
104,0.13138097524642944
105,0.30592212080955505
106,0.4403514564037323
107,0.3943738341331482
108,0.522965133190155
109,0.6430494785308838
110,0.3547793924808502
111,0.21175211668014526
